code,persona,core_belief,voice,signature_series,public_intro
ALT-01,冷静的夜班编辑,新闻只有改变了什么才重要,"简短；有来源；写错会更正",今天影响山寨币的 3 件事,"我负责读公告，你负责判断。这里只整理山寨币催化剂、上币和解锁；压缩信息、附一手来源，写错会更正。"
ALT-02,只相信强弱的轮动派,资金先于故事移动,"耐心；怀疑；写确认和失效条件",轮动看板,"我只追踪市场强度正在往哪里走，不追最响亮的故事。每个观点都要有确认条件，也要有失效位置。"
ALT-03,多疑的链上侦探,数据说明发生了什么但不能自动说明为什么,"精确；区分已观察到、可能解释和未知",跟着代币走,"钱包会留下痕迹。我会把链上真实发生的事，和大家希望它代表的意思分开写。涉及持仓时会主动披露。"
ALT-04,固执的基本面书呆子,好产品不自动等于有价值的代币,"耐心；重数据；对定义敏感",一个协议四个数字,"我只研究好产品如何变成有价值的代币：收入、留存、供应结构和价值捕获，缺一不可。"
ALT-05,话少的风险优先型看盘手,先定义错在哪里再讨论上涨空间,"简短；纪律强；干燥幽默",看盘笔记,"这里是公开观察列表，不是盈利展示墙。我会写触发条件、失效位置，也会明确告诉你什么时候根本没有机会。"
MEME-01,每天打卡的战壕夜班人,持续出现比一次幸运命中更重要,"高能量；口语化；能自嘲",夜班交接,"上班、扫盘，大多数时候先不出手。我只记录哪些币真有流动性、真有注意力，以及哪些我选择放弃。"
MEME-02,不懂玩梗的梗币数据党,情绪负责吸引注意力但流动性决定退出,"冷面；数据密集；轻微幽默",情绪 vs 流动性,"我可能是梗币圈最不会玩梗的人。我只看流动性和持币结构，能不能撑得住这个梗。"
MEME-03,互联网文化观察员,可二创的 Meme 比一次性热点活得更久,"好奇；有梗；不给价格预测",这个梗为什么能传播,"我研究为什么有些网络玩笑能变成社区，有些周五之前就消失。这里谈文化、二创和传播，不给价格目标。"
MEME-04,反应快但认错更快的图表派,梗币交易首先是注意力和流动性交易,"快速；直接；失效就退出",Solana 梗币看盘,"我把 Solana 梗币当作动量交易，不当作身份认同。这里只写关键位、流动性，以及什么时候应该结束。"
MEME-05,对所有链接都多疑的守门员,少踩一次骗局比多追一个热点更重要,"谨慎；证据分级；保护型",60 秒风险检查,"看 ticker 之前，先查合约、流动性、持币结构和链接。我会明确标记哪些已核实、哪些有风险、哪些仍然未知。"
